scaleFactor,minNeighbors,precision,recall,f1_score,fps,avg_det_time_ms
1.01,1,0.2726,0.9667,0.4152,4.6,217.61
1.01,2,0.4409,0.9667,0.5856,5.1,196.04
1.01,3,0.5487,0.9667,0.6841,5.2,191.66
1.01,5,0.8017,0.9667,0.861,5.0,198.49
1.01,7,0.9583,0.9667,0.959,5.2,191.5
1.01,10,0.9708,0.9667,0.9662,5.2,192.34
1.05,1,0.7179,0.9833,0.812,24.3,41.12
1.05,2,0.875,0.9833,0.9167,23.5,42.56
1.05,3,0.9458,0.9833,0.9595,25.8,38.73
1.05,5,1.0,0.9833,0.99,25.9,38.57
1.05,7,1.0,0.9667,0.98,25.9,38.65
1.05,10,1.0,0.925,0.9533,24.2,41.39
1.1,1,0.8058,0.9667,0.8579,44.5,22.47
1.1,2,0.9133,0.9667,0.9299,48.6,20.58
1.1,3,0.9458,0.9667,0.9495,51.0,19.6
1.1,5,0.9833,0.925,0.9467,49.7,20.13
1.1,7,0.9833,0.925,0.9467,49.7,20.14
1.1,10,0.95,0.8833,0.905,51.6,19.37
1.2,1,0.8833,0.9667,0.9114,96.3,10.38
1.2,2,0.8958,0.9,0.8895,95.6,10.46
1.2,3,0.9125,0.9,0.8962,95.5,10.47
1.2,5,0.95,0.8667,0.89,97.0,10.31
1.2,7,0.95,0.8667,0.89,96.4,10.37
1.2,10,0.75,0.6,0.6467,96.6,10.35
1.3,1,0.9333,0.925,0.9157,120.7,8.28
1.3,2,0.8833,0.8333,0.8533,123.1,8.12
1.3,3,0.85,0.775,0.8033,122.6,8.16
1.3,5,0.8,0.6667,0.7117,124.2,8.05
1.3,7,0.6,0.4583,0.4983,122.0,8.2
1.3,10,0.35,0.2167,0.2567,122.5,8.16
1.5,1,0.8583,0.8,0.8217,189.3,5.28
1.5,2,0.75,0.6417,0.6733,189.7,5.27
1.5,3,0.7,0.5667,0.6067,191.9,5.21
1.5,5,0.6,0.4,0.4617,194.2,5.15
1.5,7,0.5,0.3083,0.3583,192.2,5.2
1.5,10,0.05,0.0167,0.025,190.8,5.24
